FEATURE_ID|FEATURE_NAME|FEATURE_NAME_OFFICIAL|DATE_CREATED
654|Angel Trail Spring|Y|02/08/1980
655|Angels Gate|Y|02/08/1980
656|Angels Window|Y|02/08/1980
657|Angle Canyon|Y|02/08/1980
658|Angle Orchard|Y|02/08/1980
659|Anita Park|Y|02/08/1980
660|Anita Spring|Y|02/08/1980
661|Anita Station|Y|02/08/1980
662|Anita Tank|Y|02/08/1980
663|Ann Pond|Y|02/08/1980
664|Annie Mine|Y|02/08/1980
665|Antelope Canyon|Y|02/08/1980
666|Antelope Canyon|Y|02/08/1980
667|Antelope Creek|Y|02/08/1980
668|Antelope Creek|Y|02/08/1980
668|Antelope Wash||
669|Antelope Flat|Y|02/08/1980
670|Antelope Flats|Y|02/08/1980
671|Antelope Hill|Y|02/08/1980
671|Antelope Peak||
672|Antelope Hills|Y|02/08/1980
673|Antelope Hills|Y|02/08/1980
674|Antelope House Ruins|Y|02/08/1980
675|Antelope Knoll|Y|02/08/1980
676|Antelope Knoll Pond|Y|02/08/1980
677|Antelope Lake|Y|02/08/1980
678|Antelope Mine|Y|02/08/1980
679|Antelope Pass|Y|02/08/1980
680|Antelope Peak|Y|02/08/1980
681|Antelope Peak|Y|04/14/2009
682|Antelope Peak|Y|02/08/1980
683|Antelope Peak|Y|02/08/1980
684|Antelope Point|Y|02/08/1980
685|Antelope Point|Y|02/08/1980
686|Antelope Ranch|Y|02/08/1980
687|Antelope Ravine|Y|02/08/1980
688|Antelope Ridge|Y|02/08/1980
689|Antelope Spring|Y|02/08/1980
690|Antelope Spring|Y|02/08/1980
691|Antelope Spring|Y|02/08/1980
692|Antelope Spring|Y|02/08/1980
693|Antelope Springs|Y|02/08/1980
694|Antelope Tank|Y|02/08/1980
695|Antelope Tank|Y|02/08/1980
696|Antelope Tank|Y|02/08/1980
697|Antelope Tank|Y|02/08/1980
698|Antelope Tank|Y|02/08/1980
699|Antelope Tank|Y|02/08/1980
700|Antelope Tank|Y|02/08/1980
701|Antelope Tank|Y|02/08/1980
702|Antelope Tank|Y|02/08/1980
703|Antelope Tank|Y|02/08/1980
704|Antelope Tank|Y|02/08/1980
705|Antelope Trail|Y|02/08/1980
706|Antelope Trail Spring|Y|02/08/1980
707|Antelope Union High School|Y|02/08/1980
708|Antelope Valley|Y|02/08/1980
709|Antelope Wash|Y|02/08/1980
710|Antelope Wash|Y|02/08/1980
711|Antelope Wash|Y|02/08/1980
712|Antelope Well|Y|02/08/1980
713|Antelope Well|Y|02/08/1980
714|Antelope Well|Y|02/08/1980
715|Antelope Well|Y|02/08/1980
716|Antelope Well|Y|02/08/1980
717|Antler Mine|Y|02/08/1980
718|Antler Mine|Y|02/08/1980
719|Antler Spring|Y|02/08/1980
720|Antonio Tank|Y|02/08/1980
721|Anvil Ranch|Y|02/08/1980
722|Anvil Tank|Y|02/08/1980
723|Apache Butte|Y|02/08/1980
724|Apache Butte|Y|02/08/1980
725|Apache Canyon|Y|02/08/1980
726|Apache Cemetery|Y|02/08/1980
727|Apache Chief Mine|Y|02/08/1980
728|Apache Flats|Y|02/08/1980
729|Apache Mine|Y|02/08/1980
730|Apache Mine|Y|02/08/1980
731|Apache Mission School|Y|02/08/1980
732|Apache Pass|Y|02/08/1980
732|Puerto del Dado||
733|Apache Peak|Y|02/08/1980
734|Apache Peak|Y|02/08/1980
735|Apache Point|Y|02/08/1980
736|Apache Pond Number One|Y|02/08/1980
737|Apache Pond Number Two|Y|02/08/1980
738|Apache Spring|Y|02/08/1980
739|Apache Spring|Y|02/08/1980
740|Apache Spring|Y|02/08/1980
741|Apache Spring|Y|02/08/1980
742|Apache Spring|Y|02/08/1980
743|Apache Terrace|Y|02/08/1980
744|Apache Wash|Y|02/08/1980
745|Apache Wash|Y|02/08/1980
746|Apache Wash|Y|02/08/1980
747|Apodaca Cemetery|Y|02/08/1980
748|Apollo Temple|Y|02/08/1980
749|Appaloosa Ridge|Y|02/08/1980
750|Apsey Camp|Y|02/08/1980
751|Agua Wash|Y|02/08/1980
752|Aquarius Cliffs|Y|02/08/1980
753|Aquarius Mountains|Y|02/08/1980
754|Arabian Mine|Y|02/08/1980
755|Aravaipa Farms|Y|02/08/1980
756|Arcadia Campground|Y|02/08/1980
757|Arch Canyon|Y|02/08/1980
758|Arch Mountain|Y|02/08/1980
759|Arch Tank|Y|02/08/1980
760|Archibald Corral|Y|02/08/1980
761|Ardmore Mine|Y|02/08/1980
762|Argyle Mine|Y|02/08/1980
763|Ariel Point|Y|02/08/1980
764|Arivaca King Mine|Y|02/08/1980
765|Arizola|Y|02/08/1980
766|Arizona Academy of Science and Technology|Y|02/26/2009
766|Arizona Academy||02/08/1980
767|Arizona Bible School|Y|02/08/1980
768|Canyon State Academy|Y|02/26/2009
768|Arizona Boys Ranch||02/08/1980
769|Arizona Childrens Colony|Y|02/08/1980
770|Arizona City|Y|02/08/1980
771|Arizona Cross Cut Canal|Y|02/08/1980
772|Arizona Falls Power House|Y|02/08/1980
773|Arizona Gulch|Y|02/08/1980
774|Arizona Magma Mine|Y|02/08/1980
775|Arizona Montana Mine|Y|02/08/1980
776|Arizona Spring|Y|02/08/1980
777|Arizona State University|Y|12/04/2014
777|ASU Main Campus||
777|Arizona State College at Tempe||
777|Arizona State University - Main Campus||
777|Arizona State University - Tempe Campus||06/27/1984
777|Arizona State University Tempe Campus||02/26/2009
778|Arizona State Hospital|Y|02/08/1980
779|Arizona State Hospital Farm (historical)|Y|02/08/1980
780|Arizona State Sanatorium (historical)|Y|02/08/1980
781|Arizona State School|Y|02/08/1980
782|Arizona Sunshine School|Y|02/08/1980
783|Arizona Western College Main Campus|Y|04/27/2009
783|Arizona Western College||02/08/1980
784|Arizona Yucca Mine|Y|02/08/1980
785|Arizona-Sonora Desert Museum|Y|02/08/1980
786|Arkansas Mountain|Y|02/08/1980
787|Arkansas Ranch|Y|02/08/1980
788|Arlington|Y|02/08/1980
789|Arlington Canal|Y|02/08/1980
790|Arlington Mesa|Y|02/08/1980
791|Arlington Elementary School|Y|02/26/2009
791|Arlington School||02/08/1980
792|Arlington Station|Y|02/08/1980
793|Arlington Valley|Y|02/08/1980
794|Armenta Ranch|Y|02/08/1980
