"","State","County1","n.x","n.y"
"314","PR","AGUADILLA",NA,106
"315","PR","AGUAS BUENAS",NA,63
"316","PR","AIBONITO",NA,51
"317","PR","AÑASCO",NA,87
"318","PR","ARECIBO",NA,188
"319","PR","ARROYO",NA,49
"320","PR","BARCELONETA",NA,63
"321","PR","BARRANQUITAS",NA,43
"322","PR","BAYAMÓN",NA,222
"323","PR","CABO ROJO",NA,135
"324","PR","CAGUAS",NA,195
"325","PR","CAMUY",NA,66
"326","PR","CANÓVANAS",NA,56
"327","PR","CAROLINA",NA,122
"328","PR","CATAÑO",NA,55
"329","PR","CAYEY",NA,80
"330","PR","CEIBA",NA,55
"331","PR","CIALES",NA,63
"332","PR","CIDRA",NA,65
"333","PR","COAMO",NA,66
"334","PR","COMERÍO",NA,56
"335","PR","COROZAL",NA,46
"336","PR","CULEBRA",NA,103
"337","PR","DORADO",NA,54
"338","PR","FAJARDO",NA,126
"339","PR","FLORIDA",NA,12
"340","PR","GUÁNICA",NA,75
"341","PR","GUAYAMA",NA,107
"342","PR","GUAYANILLA",NA,91
"343","PR","GUAYNABO",NA,119
"344","PR","GURABO",NA,51
"345","PR","HATILLO",NA,59
"346","PR","HORMIGUEROS",NA,29
"347","PR","HUMACAO",NA,128
"348","PR","ISABELA",NA,52
"349","PR","JAYUYA",NA,50
"350","PR","JUANA DÍAZ",NA,118
"351","PR","JUNCOS",NA,51
"352","PR","LAJAS",NA,77
"353","PR","LARES",NA,54
"354","PR","LAS MARÍAS",NA,53
"355","PR","LAS PIEDRAS",NA,64
"356","PR","LOÍZA",NA,82
"357","PR","LUQUILLO",NA,58
"358","PR","MANATÍ",NA,85
"359","PR","MARICAO",NA,47
"360","PR","MAUNABO",NA,52
"361","PR","MAYAGÜEZ",NA,214
"362","PR","MOCA",NA,65
"363","PR","MOROVIS",NA,50
"364","PR","NAGUABO",NA,83
"365","PR","NARANJITO",NA,24
"366","PR","OROCOVIS",NA,45
"367","PR","PATILLAS",NA,54
"368","PR","PEÑUELAS",NA,74
"369","PR","PONCE",NA,397
"370","PR","QUEBRADILLAS",NA,36
"371","PR","RINCÓN",NA,61
"372","PR","RÍO GRANDE",NA,104
"373","PR","SABANA GRANDE",NA,65
"374","PR","SALINAS",NA,82
"375","PR","SAN GERMÁN",NA,118
"376","PR","SAN JUAN",NA,683
"377","PR","SAN LORENZO",NA,61
"378","PR","SAN SEBASTIÁN",NA,71
"379","PR","SANTA ISABEL",NA,79
"380","PR","TOA ALTA",NA,60
"381","PR","TOA BAJA",NA,99
