"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"LEGGS",NA,"LEGGS","YALOBUSHA",NA,NA,"MS","1900",TRUE,"1907","5",32211,"Yalobusha","LEGGO","YALOBUSHA","MS","705926","Locale","Leggo (historical)","Yalobusha","34.1134442","-89.7973106","100","328",TRUE,0.8
"LEIGHTONS CORNERS","LEIGHTON'S CORNERS","LEIGHTON(')S CORNERS","CARROLL",NA,NA,"NH","1833",FALSE,"1917","2",32254,"Carroll","LEIGHTON CORNERS","CARROLL","NH","867990","Locale","Leighton Corners","Carroll","43.6792442","-71.0281217","251","823",TRUE,0.941176470588235
"LEIGHTONS",NA,"LEIGHTONS","YALOBUSHA",NA,NA,"MS","1851",TRUE,"1853","9",32255,"Yalobusha","LEIGHTON","YALOBUSHA","MS","704581","Locale","Leighton (historical)","Yalobusha","33.9212248","-89.8473099","124","407",TRUE,0.888888888888889
"LOBOCCO",NA,"LOBOCCO","MARENGO",NA,NA,"AL","1924",TRUE,"1932","3",33317,"Marengo","LOBOCO","MARENGO","AL","137625","Locale","Loboco (historical)","Marengo","32.2890317","-87.8658461","20","66",TRUE,0.857142857142857
"LOEGAARD",NA,"LOEGAARD","LINCOLN",NA,NA,"MS","1907",TRUE,"1917","4",33473,"Lincoln","SOEGAARD","LINCOLN","MS","686282","Locale","Soegaard (historical)","Lincoln","31.6126682","-90.2989797","144","472",TRUE,0.875
"LONGS MILL",NA,"LONGS MILL","KNOX",NA,NA,"TN","1840",TRUE,"1891","4",33720,"Knox","LYONS MILL","KNOX","TN","1314224","Locale","Lyons Mill (historical)","Knox","35.917026","-83.9954637","247","810",TRUE,0.8
"LOW CAP",NA,"LOW CAP","NEWTON",NA,NA,"AR","1898",FALSE,"1970","1",34031,"Newton","LOW GAP","NEWTON","AR","72504","Locale","Low Gap","Newton","35.9861886","-93.3185137","682","2238",TRUE,0.857142857142857
"MARSDEN",NA,"MARSDEN","WASHINGTON",NA,NA,"MO","1875",TRUE,"1876","6",35503,"Washington","MARYDEN","WASHINGTON","MO","735975","Locale","Maryden","Washington","37.7964387","-90.6626268","267","876",TRUE,0.857142857142857
"MARSHALL'S CORNERS","MARSHALLS CORNERS","MARSHALL'S CORNERS","CRAWFORD",NA,NA,"PA","1854",TRUE,"1868","7",35532,"Crawford","MARSHALL CORNERS","CRAWFORD","PA","1180464","Locale","Marshall Corners","Crawford","41.5300536","-80.434235","390","1280",TRUE,0.888888888888889
"MC LAURINS MILLS","MCLAURINS MILLS","MC LAURINS MILLS","MARLBORO",NA,NA,"SC","1878",TRUE,"1884","5",36298,"Marlboro","MCLAURINS MILL","MARLBORO","SC","1232767","Locale","McLaurins Mill (historical)","Marlboro","34.6754347","-79.7592293","47","154",TRUE,0.875
"MERVIN",NA,"MERVIN","AMITE",NA,NA,"MS","1880",TRUE,"1911","4",36969,"Amite","MERWIN","AMITE","MS","705067","Locale","Merwin (historical)","Amite","31.177119","-90.9376028","116","381",TRUE,0.833333333333333
"MIFFLETONS LANDING",NA,"MIFFLETONS LANDING","COAHOMA",NA,NA,"MS","1866",TRUE,"1867","9",37234,"Coahoma","MITTLETONS LANDING","COAHOMA","MS","689305","Locale","Mittletons Landing (historical)","Coahoma","34.2737157","-90.8167734","45","148",TRUE,0.888888888888889
"MILLER STATION","MILLER","MILLER STATION","CHATHAM",NA,NA,"GA","1873",TRUE,"1883","6",37430,"Chatham","MILLERS STATION","CHATHAM","GA","1694601","Locale","Millers Station (historical)","Chatham","31.9877086","-81.2248336","6","20",TRUE,0.928571428571429
"MODENA",NA,"MODENA","TUSCALOOSA",NA,NA,"AL","1880",TRUE,"1881","8",37927,"Tuscaloosa","MODINA","TUSCALOOSA","AL","157847","Locale","Modina (historical)","Tuscaloosa","33.0562331","-87.4505588","54","177",TRUE,0.833333333333333
"MONTHALIA",NA,"MONTHALIA","PANOLA",NA,NA,"MS","1851",TRUE,"1857","8",38209,"Panola","MONTHOLIA","PANOLA","MS","685699","Locale","Montholia (historical)","Panola","34.4959391","-89.9687009","107","351",TRUE,0.888888888888889
